HeatFuel,FID
,2233
GAS,2234
GAS,2235
GAS,2236
GAS,2237
GAS,2238
GAS,2239
GAS,2240
GAS,2241
GAS,2242
GAS,2243
GAS,2244
OIL,2245
GAS,2246
GAS,2247
GAS,2248
GAS,2249
OIL,2250
GAS,2251
OIL,2252
GAS,2253
GAS,2254
ELECTRIC,2255
OIL,2256
GAS,2257
GAS,2258
GAS,2259
GAS,2260
GAS,2261
GAS,2262
GAS,2263
GAS,2264
,2265
GAS,2266
OIL,2267
GAS,2268
ELECTRIC,2269
GAS,2270
GAS,2271
,2272
OIL,2273
ELECTRIC,2274
GAS,2275
GAS,2276
GAS,2277
GAS,2278
OIL,2279
GAS,2280
OIL,2281
GAS,2282
GAS,2283
GAS,2284
GAS,2285
GAS,2286
GAS,2287
GAS,2288
GAS,2289
GAS,2290
GAS,2291
GAS,2292
OIL,2293
GAS,2294
GAS,2295
GAS,2296
GAS,2297
GAS,2298
GAS,2299
GAS,2300
GAS,2301
GAS,2302
,2303
GAS,2304
GAS,2305
OIL,2306
GAS,2307
OIL,2308
GAS,2309
GAS,2310
GAS,2311
GAS,2312
GAS,2313
GAS,2314
GAS,2315
GAS,2316
GAS,2317
GAS,2318
OIL,2319
GAS,2320
GAS,2321
GAS,2322
GAS,2323
GAS,2324
GAS,2325
GAS,2326
ELECTRIC,2327
GAS,2328
GAS,2329
GAS,2330
OIL,2331
GAS,2332
GAS,2333
GAS,2334
GAS,2335
GAS,2336
GAS,2337
GAS,2338
GAS,2339
GAS,2340
GAS,2341
,2342
GAS,2343
GAS,2344
GAS,2345
GAS,2346
GAS,2347
GAS,2348
OIL,2349
GAS,2350
GAS,2351
GAS,2352
OIL,2353
GAS,2354
GAS,2355
OIL,2356
GAS,2357
,2358
ELECTRIC,2359
GAS,2360
OIL,2361
GAS,2362
,2363
OIL,2364
GAS,2365
GAS,2366
OIL,2367
GAS,2368
GAS,2369
GAS,2370
GAS,2371
GAS,2372
GAS,2373
GAS,2374
GAS,2375
ELECTRIC,2376
GAS,2377
GAS,2378
GAS,2379
GAS,2380
GAS,2381
GAS,2382
GAS,2383
GAS,2384
GAS,2385
GAS,2386
GAS,2387
GAS,2388
GAS,2389
GAS,2390
GAS,2391
GAS,2392
GAS,2393
GAS,2394
GAS,2395
GAS,2396
GAS,2397
GAS,2398
GAS,2399
OIL,2400
GAS,2401
OIL,2402
GAS,2403
OIL,2404
GAS,2405
,2406
GAS,2407
GAS,2408
GAS,2409
GAS,2410
GAS,2411
GAS,2412
OIL,2413
GAS,2414
GAS,2415
GAS,2416
GAS,2417
GAS,2418
GAS,2419
GAS,2420
GAS,2421
GAS,2422
OIL,2423
GAS,2424
GAS,2425
GAS,2426
GAS,2427
GAS,2428
GAS,2429
GAS,2430
ELECTRIC,2431
OIL,2432
GAS,2433
GAS,2434
GAS,2435
GAS,2436
OIL,2437
GAS,2438
GAS,2439
OIL,2440
GAS,2441
GAS,2442
GAS,2443
OIL,2444
GAS,2445
GAS,2446
GAS,2447
GAS,2448
GAS,2449
OIL,2450
GAS,2451
GAS,2452
GAS,2453
GAS,2454
GAS,2455
GAS,2456
GAS,2457
GAS,2458
OIL,2459
,2460
OIL,2461
GAS,2462
GAS,2463
GAS,2464
OIL,2465
GAS,2466
GAS,2467
GAS,2468
GAS,2469
GAS,2470
GAS,2471
GAS,2472
GAS,2473
OIL,2474
GAS,2475
GAS,2476
GAS,2477
GAS,2478
GAS,2479
GAS,2480
GAS,2481
GAS,2482
GAS,2483
GAS,2484
GAS,2485
ELECTRIC,2486
GAS,2487
GAS,2488
GAS,2489
GAS,2490
ELECTRIC,2491
OIL,2492
GAS,2493
GAS,2494
GAS,2495
OIL,2496
GAS,2497
GAS,2498
GAS,2499
GAS,2500
GAS,2501
GAS,2502
OIL,2503
GAS,2504
OIL,2505
GAS,2506
GAS,2507
GAS,2508
GAS,2509
GAS,2510
GAS,2511
GAS,2512
GAS,2513
GAS,2514
GAS,2515
GAS,2516
GAS,2517
GAS,2518
OIL,2519
GAS,2520
GAS,2521
GAS,2522
GAS,2523
GAS,2524
GAS,2525
GAS,2526
OIL,2527
GAS,2528
GAS,2529
GAS,2530
GAS,2531
,2532
GAS,2533
OIL,2534
GAS,2535
GAS,2536
OIL,2537
GAS,2538
GAS,2539
GAS,2540
OIL,2541
GAS,2542
GAS,2543
GAS,2544
GAS,2545
GAS,2546
OIL,2547
GAS,2548
GAS,2549
GAS,2550
,2551
GAS,2552
,2553
GAS,2554
GAS,2555
OIL,2556
GAS,2557
GAS,2558
GAS,2559
GAS,2560
GAS,2561
GAS,2562
GAS,2563
GAS,2564
GAS,2565
GAS,2566
GAS,2567
GAS,2568
GAS,2569
,2570
GAS,2571
OIL,2572
GAS,2573
GAS,2574
GAS,2575
GAS,2576
GAS,2577
GAS,2578
GAS,2579
OIL,2580
GAS,2581
GAS,2582
GAS,2583
GAS,2584
GAS,2585
GAS,2586
GAS,2587
OIL,2588
GAS,2589
GAS,2590
GAS,2591
GAS,2592
GAS,2593
GAS,2594
GAS,2595
GAS,2596
GAS,2597
GAS,2598
GAS,2599
,2600
GAS,2601
GAS,2602
GAS,2603
GAS,2604
GAS,2605
GAS,2606
GAS,2607
GAS,2608
GAS,2609
GAS,2610
GAS,2611
GAS,2612
GAS,2613
GAS,2614
GAS,2615
GAS,2616
GAS,2617
GAS,2618
GAS,2619
GAS,2620
GAS,2621
GAS,2622
GAS,2623
GAS,2624
GAS,2625
GAS,2626
GAS,2627
GAS,2628
OIL,2629
GAS,2630
GAS,2631
GAS,2632
GAS,2633
GAS,2634
GAS,2635
OIL,2636
OIL,2637
GAS,2638
GAS,2639
GAS,2640
GAS,2641
GAS,2642
GAS,2643
,2644
GAS,2645
OIL,2646
GAS,2647
GAS,2648
GAS,2649
GAS,2650
GAS,2651
GAS,2652
OIL,2653
GAS,2654
GAS,2655
,2656
GAS,2657
OIL,2658
GAS,2659
OIL,2660
OIL,2661
GAS,2662
GAS,2663
GAS,2664
GAS,2665
GAS,2666
OIL,2667
GAS,2668
GAS,2669
GAS,2670
GAS,2671
,2672
,2673
GAS,2674
GAS,2675
GAS,2676
GAS,2677
GAS,2678
ELECTRIC,2679
GAS,2680
GAS,2681
GAS,2682
GAS,2683
GAS,2684
GAS,2685
GAS,2686
GAS,2687
GAS,2688
GAS,2689
GAS,2690
GAS,2691
GAS,2692
GAS,2693
GAS,2694
GAS,2695
GAS,2696
GAS,2697
GAS,2698
GAS,2699
GAS,2700
GAS,2701
OIL,2702
GAS,2703
GAS,2704
GAS,2705
,2706
GAS,2707
GAS,2708
GAS,2709
GAS,2710
OIL,2711
GAS,2712
GAS,2713
GAS,2714
GAS,2715
GAS,2716
,2717
GAS,2718
GAS,2719
GAS,2720
OIL,2721
GAS,2722
GAS,2723
GAS,2724
GAS,2725
GAS,2726
GAS,2727
GAS,2728
GAS,2729
GAS,2730
GAS,2731
GAS,2732
GAS,2733
GAS,2734
GAS,2735
GAS,2736
GAS,2737
OIL,2738
GAS,2739
GAS,2740
GAS,2741
,2742
GAS,2743
GAS,2744
GAS,2745
GAS,2746
,2747
GAS,2748
OIL,2749
GAS,2750
OIL,2751
GAS,2752
GAS,2753
GAS,2754
GAS,2755
GAS,2756
GAS,2757
GAS,2758
GAS,2759
GAS,2760
GAS,2761
GAS,2762
GAS,2763
GAS,2764
GAS,2765
GAS,2766
GAS,2767
GAS,2768
GAS,2769
GAS,2770
GAS,2771
GAS,2772
GAS,2773
GAS,2774
GAS,2775
GAS,2776
ELECTRIC,2777
GAS,2778
GAS,2779
GAS,2780
,2781
GAS,2782
GAS,2783
GAS,2784
GAS,2785
GAS,2786
GAS,2787
GAS,2788
GAS,2789
GAS,2790
GAS,2791
GAS,2792
GAS,2793
GAS,2794
GAS,2795
,2796
OIL,2797
GAS,2798
GAS,2799
GAS,2800
GAS,2801
GAS,2802
GAS,2803
GAS,2804
GAS,2805
GAS,2806
GAS,2807
GAS,2808
GAS,2809
,2810
GAS,2811
GAS,2812
,2813
GAS,2814
GAS,2815
GAS,2816
GAS,2817
GAS,2818
GAS,2819
GAS,2820
GAS,2821
GAS,2822
GAS,2823
ELECTRIC,2824
OIL,2825
GAS,2826
ELECTRIC,2827
GAS,2828
GAS,2829
GAS,2830
OIL,2831
,2832
GAS,2833
GAS,2834
GAS,2835
OIL,2836
GAS,2837
GAS,2838
GAS,2839
PROPANE,2840
GAS,2841
GAS,2842
GAS,2843
GAS,2844
ELECTRIC,2845
GAS,2846
,2847
GAS,2848
GAS,2849
GAS,2850
GAS,2851
GAS,2852
GAS,2853
,2854
GAS,2855
GAS,2856
GAS,2857
GAS,2858
OIL,2859
GAS,2860
GAS,2861
GAS,2862
GAS,2863
GAS,2864
GAS,2865
GAS,2866
GAS,2867
GAS,2868
GAS,2869
OIL,2870
GAS,2871
GAS,2872
GAS,2873
GAS,2874
GAS,2875
GAS,2876
GAS,2877
GAS,2878
GAS,2879
GAS,2880
GAS,2881
GAS,2882
GAS,2883
GAS,2884
GAS,2885
GAS,2886
GAS,2887
GAS,2888
GAS,2889
GAS,2890
GAS,2891
GAS,2892
OIL,2893
GAS,2894
,2895
ELECTRIC,2896
GAS,2897
GAS,2898
GAS,2899
GAS,2900
GAS,2901
GAS,2902
GAS,2903
GAS,2904
GAS,2905
OIL,2906
GAS,2907
,2908
GAS,2909
ELECTRIC,2910
,2911
GAS,2912
OIL,2913
GAS,2914
GAS,2915
GAS,2916
GAS,2917
GAS,2918
GAS,2919
ELECTRIC,2920
GAS,2921
GAS,2922
ELECTRIC,2923
ELECTRIC,2924
GAS,2925
GAS,2926
GAS,2927
GAS,2928
GAS,2929
GAS,2930
OIL,2931
GAS,2932
GAS,2933
GAS,2934
GAS,2935
GAS,2936
GAS,2937
GAS,2938
GAS,2939
GAS,2940
GAS,2941
GAS,2942
,2943
OIL,2944
GAS,2945
GAS,2946
GAS,2947
OIL,2948
GAS,2949
GAS,2950
OIL,2951
OIL,2952
GAS,2953
GAS,2954
GAS,2955
GAS,2956
GAS,2957
GAS,2958
GAS,2959
GAS,2960
GAS,2961
GAS,2962
GAS,2963
OIL,2964
GAS,2965
GAS,2966
GAS,2967
GAS,2968
GAS,2969
GAS,2970
GAS,2971
OIL,2972
GAS,2973
GAS,2974
,2975
GAS,2976
GAS,2977
GAS,2978
OIL,2979
GAS,2980
GAS,2981
GAS,2982
GAS,2983
GAS,2984
GAS,2985
OIL,2986
GAS,2987
GAS,2988
GAS,2989
GAS,2990
GAS,2991
,2992
GAS,2993
GAS,2994
GAS,2995
GAS,2996
GAS,2997
GAS,2998
GAS,2999
GAS,3000
