StreetName,FID
"SOUTH WILLIAMS ST",1861
"FOREST ST",1862
"ARCHIBALD ST",1863
"RIVERS EDGE DR",1864
"HILDRED DR",1865
"FARRINGTON PW",1866
"BIRCH CT",1867
"FLYNN AV",1868
"CHERRY ST",1869
"COLLEGE ST",1870
"WOODLAWN RD",1871
"BLODGETT ST",1872
"SANDRA CR",1873
"BITTERSWEET LN",1874
"PROSPECT PW",1875
"NORTH AV",1876
"NORTH CHAMPLAIN ST",1877
"ROSE ST",1878
"ST PAUL ST",1879
"LOCUST TR",1880
"PARK ST",1881
"CHASE ST",1882
"HILDRED DR",1883
"HOWARD ST",1884
"NORTH VIEW DR",1885
"FAITH ST",1886
"STANIFORD FARMS RD",1887
"NORTH ST",1888
"OAKCREST DR",1889
"CRESCENT RD",1890
"LEDGEMERE ST",1891
"HUNGERFORD TR",1892
"COLLEGE ST",1893
"VAN PATTEN PW",1894
"CUMBERLAND RD",1895
"NORTH AV",1896
"SARATOGA AV",1897
"LEDGE RD",1898
"MAPLE ST",1899
"NORTH AV",1900
"FERGUSON AV",1901
"AUSTIN DR",1902
"COLCHESTER AV",1903
"HOOVER ST",1904
"LAKE ST",1905
"HYDE ST",1906
"SPRUCE ST",1907
"NORTH ST",1908
"FOSTER ST",1909
"STARR FARM RD",1910
"LEDGEMERE ST",1911
"HOWARD ST",1912
"HARRISON AV",1913
"SOUTH UNION ST",1914
"NORTH AV",1915
"MANSFIELD AV",1916
"SUNSET CT",1917
"LOOMIS ST",1918
"LOALDO DR",1919
"LAFOUNTAIN ST",1920
"EAST AV",1921
"AUSTIN DR",1922
"SOUTH UNION ST",1923
"NORTH AV",1924
"LAKE ST",1925
"NORTH AV",1926
"SOUTH UNION ST",1927
"KILLARNEY DR",1928
"ELMWOOD AV",1929
"COLLEGE ST",1930
"NORTH AV",1931
"MANHATTAN DR",1932
"SOUTH UNION ST",1933
"HENRY ST",1934
"WILSON ST",1935
"NORTH ST",1936
"FERN ST",1937
"SANDRA CR",1938
"SOUTH CREST DR",1939
"BROOKES AV",1940
"EASTMAN FARM RD",1941
"NORTHSHORE DR",1942
"LOALDO DR",1943
"HARBOR WATCH RD",1944
"NORTH CHAMPLAIN ST",1945
"COLCHESTER AV",1946
"NASH PL",1947
"NORTH ST",1948
"LAKE FOREST DR",1949
"ARCHIBALD ST",1950
"MANHATTAN DR",1951
"RIVERS EDGE DR",1952
"NORTH AV",1953
"BROOKES AV",1954
"THIBAULT PW",1955
"AUSTIN DR",1956
"LINDEN TR",1957
"BEACHCREST DR",1958
"NORTH AV",1959
"SOUTH WILLARD ST",1960
"LINDEN TR",1961
"COLLEGE ST",1962
"HAYWARD ST",1963
"NORTHSHORE DR",1964
"SOUTH WINOOSKI AV",1965
"NORTH AV",1966
"FAITH ST",1967
"SARATOGA AV",1968
"NORTH AV",1969
"JOHNSON ST",1970
"WILDWOOD DR",1971
"PENNINGTON DR",1972
"DECATUR ST",1973
"HENRY ST",1974
"PEARL ST",1975
"LAKEWOOD PW",1976
"SOUTH WINOOSKI AV",1977
"MAIN ST",1978
"BROOK DR",1979
"COLCHESTER AV",1980
"CONGER AV",1981
"CURTIS AV",1982
"LORI LN",1983
"NORTH AV",1984
"NORTH AV",1985
"PLEASANT AV",1986
"APPLETREE POINT RD",1987
"NORTH ST",1988
"HEINEBERG RD",1989
"NORTH AVENUE EX",1990
"COLCHESTER AV",1991
"COTTAGE GR",1992
"CURTIS AV",1993
"SOUTH PROSPECT ST",1994
"CHARLOTTE ST",1995
"NORTH ST",1996
"NORTH WINOOSKI AV",1997
"PLATTSBURG AV",1998
"CLIFF ST",1999
"CHERRY ST",2000
"SANDRA CR",2001
"KILLARNEY DR",2002
"OAKCREST DR",2003
"MANSFIELD AV",2004
"TALLWOOD LN",2005
"LAKE ST",2006
"COLCHESTER AV",2007
"SOUTH WILLARD ST",2008
"HARBOR WATCH RD",2009
"NORTH CHAMPLAIN ST",2010
"MOORE CT",2011
"HENDERSON TR",2012
"DREW ST",2013
"FLYNN AV",2014
"LOALDO DR",2015
"SPRUCE ST",2016
"SOUTH COVE RD",2017
"CROMBIE ST",2018
"BANK ST",2019
"STARR FARM BC",2020
"VILLAGE GN",2021
"FLYNN AV",2022
"AUSTIN DR",2023
"CHERRY ST",2024
"ST LOUIS ST",2025
"CHARLOTTE ST",2026
"CHITTENDEN DR",2027
"VAN PATTEN PW",2028
"WEST RD",2029
"HOME AV",2030
"ETHAN ALLEN PW",2031
"CHARLOTTE ST",2032
"MAPLE ST",2033
"VALADE ST",2034
"OAKCREST DR",2035
"TRACY DR",2036
"NORTH AV",2037
"INTERVALE AV",2038
"KING ST",2039
"NORTHSHORE DR",2040
"BUELL ST",2041
"MANHATTAN DR",2042
"NORTH PROSPECT ST",2043
"COLLEGE ST",2044
"MORRILL DR",2045
"HOWARD ST",2046
"RIDGEWOOD DR",2047
"ARLINGTON CT",2048
"CHURCH ST",2049
"LOOMIS ST",2050
"SOUTH PROSPECT ST",2051
"SOUTH UNION ST",2052
"SOUTH CREST DR",2053
"SOUTH UNION ST",2054
"GREY MEADOW DR",2055
"NORTH AV",2056
"NORTH WILLARD ST",2057
"EAST AV",2058
"AVENUE C",2059
"WILDWOOD DR",2060
"VALADE ST",2061
"EAST AV",2062
"GAZO AV",2063
